pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,12/1/2025,821.6414899506264
Lexington,Fort Wayne,360,Dry Van,32000,12/2/2025,830.912581443811
Lexington,Fort Wayne,360,Dry Van,32000,12/3/2025,835.452393129449
Lexington,Fort Wayne,360,Dry Van,32000,12/4/2025,832.4558226599028
Lexington,Fort Wayne,360,Dry Van,32000,12/5/2025,832.2791083274165
Lexington,Fort Wayne,360,Dry Van,32000,12/6/2025,835.7762729435565
Lexington,Fort Wayne,360,Dry Van,32000,12/7/2025,835.3581131470127
Lexington,Fort Wayne,360,Dry Van,32000,12/8/2025,834.085298563749
Lexington,Fort Wayne,360,Dry Van,32000,12/9/2025,834.3108193826105
Lexington,Fort Wayne,360,Dry Van,32000,12/10/2025,839.0270969920774
Lexington,Fort Wayne,360,Dry Van,32000,12/11/2025,836.0022504222675
Lexington,Fort Wayne,360,Dry Van,32000,12/12/2025,836.0022504222675
Lexington,Fort Wayne,360,Dry Van,32000,12/13/2025,837.5912442890411
Lexington,Fort Wayne,360,Dry Van,32000,12/14/2025,841.3376427008212
Lexington,Fort Wayne,360,Dry Van,32000,12/15/2025,840.055728149138
Lexington,Fort Wayne,360,Dry Van,32000,12/16/2025,840.055728149138
Lexington,Fort Wayne,360,Dry Van,32000,12/17/2025,844.8044422887626
Lexington,Fort Wayne,360,Dry Van,32000,12/18/2025,841.7587921244427
Lexington,Fort Wayne,360,Dry Van,32000,12/19/2025,841.7587921244427
Lexington,Fort Wayne,360,Dry Van,32000,12/20/2025,841.7587921244427
Lexington,Fort Wayne,360,Dry Van,32000,12/21/2025,841.3376427008212
Lexington,Fort Wayne,360,Dry Van,32000,12/22/2025,840.055728149138
Lexington,Fort Wayne,360,Dry Van,32000,12/23/2025,840.055728149138
Lexington,Fort Wayne,360,Dry Van,32000,12/24/2025,844.8044422887626
Lexington,Fort Wayne,360,Dry Van,32000,12/25/2025,841.7587921244427
Lexington,Fort Wayne,360,Dry Van,32000,12/26/2025,841.7586166181675
Lexington,Fort Wayne,360,Dry Van,32000,12/27/2025,841.7586166181675
Lexington,Fort Wayne,360,Dry Van,32000,12/28/2025,841.3374672822513
Lexington,Fort Wayne,360,Dry Van,32000,12/29/2025,815.7484153520493
Lexington,Fort Wayne,360,Dry Van,32000,12/30/2025,815.7484153520493
Lexington,Fort Wayne,360,Dry Van,32000,12/31/2025,820.536270751709
